id,s_name,s_road,s_kind,s_status
0,(Eve) 이브,인천광역시 중구 화랑목로100번길 65(1층 104호 일부 운서동),기타,정상
1,고래사 인천공항점,"인천광역시 중구 공항로 272(면세동 3층 운서동, 인천국제공항여객터미널)",분식,정상
2,동원홈푸드 인천공항택시주차장,"인천광역시 중구 공항로 271(운서동, 외325필지장기주차장 동측 택시식당)",한식,정상
3,디그니티그룹 퍼스트플로어5,인천광역시 중구 용유서로304번길 12(1층 을왕동),경양식,정상
4,명품,"인천광역시 중구 신도시남로141번길 13-5(3층 301호 운서동, 영종도 명품관)",기타,정상
5,밥프로인천BMW드라이빙센터점,인천광역시 중구 공항동로 136(BMW 드라이빙센터 2층 운서동),한식,정상
6,봄스 수라상,인천광역시 중구 축항대로296번길 56-39(2층 신흥동3가),기타,정상
7,신차이,인천광역시 중구 차이나타운로 25(지하2층~지하3층 북성동3가),중국식,정상
8,아워홈 푸드엠파이어 인천공항점(여객터미널 동편 모짜루나),"인천광역시 중구 공항로 272(면세동 4층 4900호 운서동, 인천국제공항여객터미널)",경양식,정상
9,아워홈 푸드엠파이어 인천공항점(여객터미널 동편 싱카이),"인천광역시 중구 공항로 272(면세동 4층 4900호 운서동, 인천국제공항여객터미널)",중국식,정상
10,아워홈 푸드엠파이어 인천공항점(여객터미널 서편 손수반상),"인천광역시 중구 공항로 272(면세동 4층 4801호 운서동, 인천국제공항여객터미널)",한식,정상
11,아워홈 푸드엠파이어 인천공항점(여객터미널 서편 케세이호),"인천광역시 중구 공항로 272(면세동 4층 4801호 운서동, 인천국제공항여객터미널)",중국식,정상
12,아워홈 푸드엠파이어 인천공항점(탑승동 동편 루),"인천광역시 중구 공항로 272(탑승동 3층 3181호 운서동, 인천국제공항여객터미널)",기타,정상
13,아워홈 푸드엠파이어 인천공항점(탑승동 동편 손수김밥),"인천광역시 중구 공항로 272(탑승동 3층 3181호 운서동, 인천국제공항여객터미널)",김밥(도시락),정상
14,아워홈 푸드엠파이어 인천공항점(탑승동 동편 손수반상),"인천광역시 중구 공항로 272(탑승동 3층 3181호 운서동, 인천국제공항여객터미널)",한식,정상
15,아워홈 푸드엠파이어 인천공항점[여객터미널 서편 포(PHO)],"인천광역시 중구 공항로 272(면세동 4층 4801호 운서동, 인천국제공항여객터미널)",기타,정상
16,아워홈 푸드엠파이어 인천공항점[탑승동 동편 포(PHO)],"인천광역시 중구 공항로 272(탑승동 3층 3181호 운서동, 인천국제공항여객터미널)",기타,정상
17,은우 리얼야구존,인천광역시 중구 하늘달빛로 90-21(K.P타워 4층 중산동),기타,정상
18,임페리얼트레져사우스코리아,"인천광역시 중구 영종해안남로321번길 186(1층 운서동, 파라다이스시티)",중국식,정상
19,제주항공,인천광역시 중구 공항로 272(인천공항 제1여객터미널면세구역 4층 운서동),기타,정상
20,캘리스코 인천공항점(여객터미널 서편 타코벨),"인천광역시 중구 공항로 272(면세동 4층 4801호 운서동, 인천국제공항여객터미널)",기타,정상
