total_id,s_id,s_name
1,0,상해
2,1,미쿠
3,2,여름엔빙수겨울엔떡국
4,3,카페디퍼
5,4,메이크데이(MakeDay)
6,5,달의 작업실(Lalune)
7,6,숯칼 도산 숯닭갈비
8,7,테트리스찜닭 수유미아점
9,8,블러프라운지
10,9,탐라정성돈카츠(탐정돈)
11,10,보스턴피자
12,11,올리브커피숍
13,12,먹거리 곱창전골
14,13,주문바다요
15,14,식껍선유도역점
16,15,명품대게박스 강동점
17,16,짱구
18,17,반상회성수
19,18,무심
20,19,떡깨비(공릉점)
21,20,진쇼니
22,21,노매드
23,22,누구나 홀딱 반한 닭 (구로항동점)
24,23,소리가있는주방
25,24,라이크잇
26,25,까페토미
27,26,유와이스쿠티
28,27,87닭강정 구로직영
29,28,포퀸스
30,29,멕시카나 세곡점
31,30,구구한식뷔폐
32,31,청파책가도
33,32,오오 스튜디오
34,33,호가호가외식
35,34,"사월의, 새싹"
36,35,롯데시네마 도곡
37,36,우주에프앤비 광진점
38,37,호산나 떡볶이
39,38,희망컴퍼니
40,39,마음이 약해서
41,40,에이스잭스포츠홀덤펍(AJ스포츠홀덤펍)
42,41,양가식탁
43,42,육대장 마곡점
44,43,청기와타운
45,44,어스키친 관악점
46,45,도담푸드
47,46,역전할머니맥주 발산역점
48,47,와이니하이
49,48,연남토마
51,49,아바이 순대국
52,50,띠아 데 부리또
53,51,찜이로닭
54,52,모미락 은평점
55,53,삼청당 서울대점
56,54,이소젠 네타
57,55,순곱이네 서울대점
58,56,고기원칙 가산하스모나점
59,57,화산공 꼬치집
60,58,송원F&B
61,59,금남정
62,60,새벽김밥
63,61,ㅇㅇㅇㅇ
64,62,산호海
65,63,사이드노트클럽
66,64,차르
68,65,제이케이
69,66,벌스투(VERSEⅡ)
70,67,코너프레소(corner presso)
71,68,신라스테이 서초 Cafe
72,69,다빈푸드
73,70,녹기전에
74,71,조개베네
75,72,라끌레
76,73,슬로우먼데이(SLOW MONDAY)
77,74,불닭발동대문엽기떡볶이 양재우면점
78,75,낭만이 있는 바이칼 호프
79,76,섬진강민물장어
80,77,돼지연구소(3호점)
81,78,도피오 로스터리
82,79,ㅇㅇㅇㅇ-table
83,80,Horse Carat(홀스 캐럿)
84,81,설맥 홍대서교점
85,82,브이카페
86,83,언껀 송파점
87,84,어묵생각
88,85,역전우동0410 &  빽다방 동작남성점
89,86,양곡 구내식당
90,87,장수숯불구이
91,88,청년어부 삼전점
93,89,카페3(CAFE3)
94,90,커맛(타이니브라운)
95,91,포 프롬나드
96,92,횃불
97,93,슈가 마운트
98,94,토봉 추어탕
99,95,서초골 맛집
100,96,와이와이
101,97,구구족(성신여대역점)
102,98,화룡양꼬치
103,99,로지
104,100,송쉐프
105,101,울엄마김밥
106,102,치킨뱅이창동역점
107,103,펍뷰
108,104,전주콩나루콩나물국밥
109,105,성내맛집
110,106,한강치킨(수제전문점)
111,107,하남촌
112,108,스타커피호프
113,109,시골밥상
114,110,돈바바
115,111,서초청국집
116,112,진로분식
117,113,회장님댁
118,114,푸라닭역삼1동점
119,115,주식회사리틀넥한남지점
120,116,못골 빈대떡
121,117,포커플레이스
122,118,원할머니보쌈
123,119,중일가든
124,120,어시장 활어회
125,121,치킨플러스
126,122,쭈니돈까스 영이도시락
127,123,라운지일레븐(LOUNGE11)
128,124,효계
129,125,막내딸집건어물
130,126,취하고호프(취하GO호프)
131,127,유노초밥
132,128,진전복 삼계탕 잠실직영점
133,129,참진한순대국
134,130,초이스타코
135,131,승주옥
136,132,꽈백최선생
137,133,서가네닭발
138,134,디핀
139,135,구펠
140,136,이경숙의 한정식
141,137,카페 베이직먼트(cafe basicment)
142,138,eert 망원점
143,139,주식회사 제이푸디
144,140,알이랑 고기랑 석촌점
145,141,물회정선생
146,142,당산곶
147,143,미태리 양천구청점
148,144,비에이치씨 증미역점
149,145,커즈퀀스(CUZQNC)
152,146,목동옥포차
153,147,주식회사 어니스트테이블
154,148,배가요리
155,149,곱분이
156,150,명인갈비 화곡점
157,151,명륜진사갈비 공릉점
158,152,마이플레이버
160,153,웻커피
161,154,행복한 집
162,155,티엔디푸드
163,156,마샐
164,157,갈비성찬
165,158,비나모르
166,159,게라게라
167,160,통큰두마리찜닭&수원왕갈비통닭
168,161,멕시카나치킨 신림녹두거리점
169,162,메이비
170,163,곱창왕김형제와 국밥집
171,164,김가네김밥 신사2호점
172,165,딥블루레이크
173,166,먹깨비김밥만두
174,167,케이-카페
175,168,감돈
176,169,하라COOK
177,170,나도람키친 성내점
178,171,작은따옴표
179,172,어울림 터
180,173,형제닭발
181,174,클럽하우스
182,175,용마포차
183,176,반포식스 교대역점
184,177,프렌(FREN)
185,178,전주가
186,179,에너지바이츠
187,180,원조정가네매운갈비찜
188,181,찌개도둑
189,182,장수
190,183,홍카페
191,184,이치류 서초점
192,185,달리는 려석들(중랑점)
193,186,미로키친
194,187,(주)프로간장게장
195,188,맥주창고
196,189,(주)프로간장게장
197,190,본죽&비빔밥
198,191,제주은희네해장국
199,192,특미순대국
200,193,카페 메죠
201,194,더(THE)고기
202,195,낫론니비해피어
203,196,금강포장마차
204,197,깐부치킨
205,198,명인갈비 등촌점
206,199,명동찌개마을
207,200,항방양육관
208,201,불스 떢볶이 염리점
209,202,일점사
210,203,더모아
211,204,클로리스 삼성중앙역점
212,205,김밥
213,206,오리나라&짱뚱어
214,207,레드
215,208,럭셔리
216,209,이공공사
217,210,조가네갑오징어 사당점
218,211,카네기
219,212,캔프(CANF'ly)
220,213,설쌈 냉면
221,214,MUSIC SHOWER
222,215,라멘모토
223,216,반포식스
224,217,도마다리뼈다귀전문점
225,218,백암순대국
226,219,백순대본가새맛
227,220,쉼터
228,221,마구로센
229,222,너구리
230,223,비어케이(Beer.K)
231,224,교대9포차
232,225,비비드(VIVID)
233,226,비비드(VIVID)
234,227,향토
235,228,대가삼
236,229,톱 뉴스
237,230,주호
238,231,홍콩반점0410 삼양사거리점
239,232,한마음정육식당 천호점
240,233,진삼
241,234,코리엔더(CORIANDER)
242,235,진동둔횟집
243,236,고향집
244,237,미락
245,238,e-모네춘천닭갈비
246,239,괸당집 교대직영점
247,240,초록나무
248,241,푸른식탁
249,242,교대비어고푸드
250,243,감격시대
251,244,숏다리
252,245,치킨뱅이
253,246,원당
254,247,한솥
255,248,태능솔밭갈비
256,249,갈쿠리와소쿠리
257,250,비어톡
258,251,종가집
259,252,추억의 김밥
260,253,서초참치명가
261,254,고기굽는사람들 남현점
262,255,스푼필라프 영등포점
263,256,한성돈까스
264,257,청담제이
265,258,면장의 밥상
266,259,맥크번
267,260,천수
268,261,교대전집
269,262,(주)프로간장게장
270,263,다동분식
271,264,베가니끄(한시적)
272,265,Soul(쏘울)
273,266,클로이스 칠하우스
275,267,만담상점
276,268,그집국수(방화점)
277,269,사직터널 그집
278,270,신촌한양왕족발
279,271,마피아떡볶기
280,272,카페수달하다
281,273,달떡볶이 답십리점
282,274,카페초아
283,275,마선생 마제
284,276,고향집
285,277,반갑다 연어야
286,278,굽네치킨 신사1동점
287,279,맛없으면 환불해주는 장군집
288,280,다한
289,281,일미리 금계찜닭 송파석촌점
290,282,카에데
291,283,수퍼바켙(SUPER BARKET)
292,284,도쿄이찌바 목동점
293,285,우리(祐利)칼국수
294,286,교촌치킨 미아사거리점
295,287,O2(오투)
296,288,매우당 수유점
297,289,피자헛 강남자곡점
298,290,제이케이푸드(강서점)
299,291,응봉할매
300,292,비스트로피자 화곡목동점
301,293,안젤라
302,294,윤미식당
303,295,까소엔더카페
304,296,맵당
305,297,옐로우피자 강동점
306,298,불이아여의도점
307,299,우리소 육회생각
308,300,귀한족발 석관점(맛자랑한식)
309,301,비스킷볼
310,302,차이나만두집
311,303,강너머남촌 숯불닭갈비 불광본점
312,304,모카런던(MOCA London)
313,305,이든 커피랩
314,306,DRUNK829(드렁크829)
315,307,삼식이감자탕
316,308,골드족발
317,309,영웅고기
318,310,정릉맥주도가
319,311,생선구이
320,312,루디움
321,313,아미네
322,314,SALMOS(살모스) 231
323,315,로스트앤파운드
324,316,선유실비
325,317,치킨테리아
326,318,유부애
327,319,60계치킨전농점
328,320,타마린드
329,321,팔도산야채순대국
330,322,봉된장
331,323,오늘도 덮밥
332,324,이핑향
333,325,덕우왕맥주
334,326,장모님이 떴다
335,327,레드보울
336,328,스윗(sweet)
337,329,옥천등갈비 김치찜
338,330,남오토코(군자점)
339,331,원조 강영숙봉평메밀촌
340,332,짜우반점
341,333,비스트로미
342,334,보통커피
343,335,우가네황칠맛나
344,336,대구반야월막창 노원점
345,337,비앤에이
346,338,버거앤프라이즈
347,339,싱싱종합어시장
348,340,삼거리
349,341,본죽과 비빔밥(서초법원점)
350,342,60계치킨 서울신당점
351,343,골목집
352,344,청년초밥
353,345,수요남
354,346,해남집
355,347,본죽(둔촌동점)
356,348,소야지
357,349,소문난순대.순대국밥
358,350,진대감강남역교보타워
359,351,파티 인 테라스
360,352,어진
361,353,비손
362,354,배떡 은평뉴타운점
363,355,고모네분식
364,356,친우식당
365,357,부자전집
366,358,소설원 홍제
367,359,낙원
368,360,카페 일상(cafe ilsang)
369,361,석's 키친
370,362,청계산흑염소
371,363,치면식당
372,364,윤지네덮밥
373,365,아바이 순대
374,366,훈일수산
375,367,국대후라이드치킨 위례점
376,368,(주)한추
377,369,블랑
378,370,교촌치킨 상일점
379,371,블루보틀커피코리아 광화문
380,372,애정오뎅
381,373,에이치엘펍
382,374,세계일주-고두비
383,375,둥지 닭볶음탕
384,376,1988도시락
385,377,카페라비앙코코
386,378,연옥
387,379,(주)엠티엘컴퍼니 효창
388,380,메종한남
389,381,도담순대국
390,382,투세븐투
391,383,투샷(Two shot)
392,384,재수돈 감자탕
393,385,오드프레젠트
394,386,푸라닭 중화점
395,387,Rev coffee 레브커피
396,388,바삭한두끼
397,389,나물먹는곰
398,390,이모꼬모
399,391,쌀통닭
400,392,편안한 분위기의 작은식당 토리네
401,393,비라펍
402,394,신마라명가 마라탕&마라샹궈 교대점
403,395,소담국
404,396,동네보쌈
405,397,하루장군
406,398,크로닉(Chronic)
407,399,온정
408,400,손가네
409,401,슈퍼피자 관악점
410,402,베브릿지 을지로 나라키움점
411,403,에프이아이푸드
412,404,엘펍
413,405,인잇 약수점
414,406,육왕 감자탕
415,407,동식이bar
416,408,스쿰빗
417,409,육회랑 연어랑
418,410,방배동커피집
419,411,새마을식당 방배점
420,412,송추가마골 영등포지점
421,413,장수원(長壽園)
422,414,카페 보니브라운
423,415,튀김왕
424,416,엄지돼지
425,417,낭만삼겹살
426,418,칼디
427,419,행복푸드
428,420,봄날
429,421,김가네 손칼국수
430,422,와일드덕칸틴
431,423,닭발돌이
432,424,청춘연가
433,425,고요서울
434,426,교촌치킨 왕십리1호
435,427,백정 앤 본가 딜리버리
436,428,아마
437,429,테이블스푼 잠실점
438,430,행복자
439,431,(주)더블업코퍼레이션파이널나인 샤로수길점
440,432,쉐프조조
441,433,인(In)서울
442,434,골드(Gold)
443,435,스포타임 연회장
444,436,파운드 버거
445,437,쿠쿠치킨
446,438,춘천집명가
447,439,팰리스차이나
448,440,Y Coffee Roasters(와이커피로스터스)
449,441,치킨플러스 국회의사당점
450,442,트랄라 한남
451,443,홍짜장 방배점
452,444,Light up coffee(라이트업커피)
453,445,만원의행복 시장점
454,446,헬로우낙곱새 신이문점
455,447,케이에프씨 방배역
456,448,베티스키친
457,449,또래오래 성북돈암점
458,450,너랑나랑
459,451,와인 아틀리에
460,452,정스런 밥상
461,453,오스테리아 소띠
462,454,설마중
463,455,곱품닭
464,456,샐러데이즈
465,457,교촌치킨 방이점
466,458,제주생고기
467,459,서래 머구리 포차
468,460,참맛푸드
469,461,봉족발
470,462,본죽 가양역점
471,463,백송
472,464,샹차이
473,465,인쌩맥주 이수역점
474,466,역전우동0410 방배점
475,467,강동원
476,468,팝스키친
